State,StateID,ItemLabels,GenItemLabel,Classification,Date,Amount
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/01/2017,596.9957143
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/02/2017,591.8181818
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/03/2017,586.3157895
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/04/2017,526.3157895
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/05/2017,528.4210526
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/06/2017,526.5
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/07/2017,468.2352941
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/08/2017,492.6315789
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/09/2017,473.6842105
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/10/2017,461.25
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/11/2017,459.4117647
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/12/2017,473.8888889
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/01/2018,400
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/02/2018,490.5263158
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/03/2018,512.7727273
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/04/2018,482.3809524
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/05/2018,462.3529412
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/06/2018,496.9230769
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/07/2018,477.037037
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/08/2018,503.8095238
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/09/2018,469.2105263
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/10/2018,468.0952381
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/11/2018,447
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/12/2018,475
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/01/2019,461.5789474
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/02/2019,445.8823529
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/03/2019,448.6956522
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/04/2019,439.4444444
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/05/2019,440
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/06/2019,495.2631579
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/07/2019,468.125
Lagos,25,Agric eggs medium size,Agric eggs/crate (M),Food Item,01/08/2019,467.3
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/01/2017,50.73785714
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/02/2017,54.13636364
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/03/2017,51.05263158
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/04/2017,49.41176471
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/05/2017,49.27777778
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/06/2017,45.42857143
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/07/2017,40.88235294
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/08/2017,41.17647059
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/09/2017,40.3125
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/10/2017,40.15
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/11/2017,41.51
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/12/2017,40.9375
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/01/2018,35
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/02/2018,40.78947368
Lagos,25,Agric eggs(medium size price of one),Agric eggs/unit (M),Food Item,01/03/2018,40.65217391
